1. RAW DATA,,,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,
Type,Well,Description,FI,FI,FI,FI,FI,FI,FI,,
B,A1,blank,52,74,61,45,51,58,139,,
B,A2,blank,60,79,68,55,61,74,135,,
C1,B1,Universal,34,1071,58,6287,40,103,193,,
C1,B2,Universal,32,1150,64,6112,35,99,247,,
C2,C1,Pool,480,270,543,6021,3979,2651,1165,,
C2,C2,Pool,633,317,659,7500,4886,3273,1459,,
X1,D1,T588,229,87,173,139,113,354,516,,
X1,D2,T588,253,99,183,162,107,374,530,,
X2,E1,T697,306,100,430,287,184,805,891,,
X2,E2,T697,341,119,532,332,207,951,1028,,
X3,F1,T598,386,119,314,266,164,838,740,,
X3,F2,T598,396,119,332,274,158,883,800,,
X4,G1,T591,471,109,305,298,221,814,938,,
X4,G2,T591,474,111,314,318,219,848,988,,
X5,H1,T921,781,87,90,255,192,565,634,,
X5,H2,T921,894,103,100,273,227,631,776,,
X6,A3,T997,785,106,185,522,219,1143,1009,,
X6,A4,T997,1014,132,239,647,278,1519,1278,,
X7,B3,T630,506,142,118,318,84,777,960,,
X7,B4,T630,502,145,136,325,108,763,976,,
X8,C3,T680,306,145,174,362,387,868,1538,,
X8,C4,T680,284,154,168,381,377,864,1584,,
X9,D3,T562,87,157,129,121,58,186,574,,
X9,D4,T562,79,190,149,133,56,190,646,,
X10,E3,T707,223,144,283,215,109,613,823,,
X10,E4,T707,2116,97,415,245,186,1116,750,,
X11,F3,T717,1104,191,1558,837,248,2793,1833,,
X11,F4,T717,1005,183,1415,858,238,2631,1720,,
X12,G3,T587,276,118,425,172,89,614,644,,
X12,G4,T587,287,114,398,182,84,582,614,,
X13,H3,LH359,2311,173,893,1146,174,2385,1084,,
X13,H4,LH359,2100,178,810,1123,158,2248,1056,,
X14,A5,T639,720,121,590,664,299,1112,1106,,
X14,A6,T639,749,120,532,638,290,1111,1149,,
X15,B5,T577,282,160,241,264,150,599,653,,
X15,B6,T577,267,166,275,277,152,615,727,,
X16,C5,T545,343,119,162,98,75,192,519,,
X16,C6,T545,360,207,205,103,79,204,804,,
X17,D5,T628,1093,188,426,411,151,1160,1054,,
X17,D6,T628,1092,216,450,397,142,1160,1138,,
X18,E5,LH158,48,158,132,39,62,54,495,,
X18,E6,LH158,3837,213,728,598,289,1700,1320,,
X19,F5,LH349,43,196,108,108,2356,90,1219,,
X19,F6,LH349,46,228,113,118,2256,86,1254,,
X20,G5,T9266,832,183,490,314,141,630,923,,
X20,G6,T9266,785,163,468,316,137,635,870,,
X21,H5,LH263,46,208,105,128,62,54,955,,
X21,H6,LH263,47,226,121,136,61,50,987,,
X22,A7,LH321,1392,218,1234,1975,564,2537,2519,,
X22,A8,LH321,1685,229,1470,2170,630,3009,3108,,
X23,B7,LH240,3524,271,1640,1448,390,2852,3042,,
X23,B8,LH240,3694,264,1658,1476,419,3078,3210,,
X24,C7,LH264,1366,175,188,221,167,383,1101,,
X24,C8,LH264,1334,156,167,210,146,358,978,,
X25,D7,LH278,1436,223,346,406,447,465,1384,,
X25,D8,LH278,1475,205,323,404,478,463,1380,,
X26,E7,LH309,3779,273,169,565,739,472,3373,,
X26,E8,LH309,3899,296,193,579,725,476,3705,,
X27,F7,T924,1428,209,384,301,270,808,1060,,
X27,F8,T924,1486,189,375,312,277,778,1008,,
X28,G7,T1013,1042,252,191,183,109,187,1127,,
X28,G8,T1013,988,196,182,172,113,169,958,,
X29,H7,LH265,515,248,280,342,136,469,1521,,
X29,H8,LH265,505,236,284,348,158,475,1562,,
X30,A9,T9086,76,94,83,107,63,83,450,,
X30,A10,T9086,70,84,77,95,60,74,460,,
X31,B9,T1080,1213,165,507,738,230,1423,1117,,
X31,B10,T1080,1238,151,532,783,232,1498,1070,,
X32,C9,T960,216,240,107,269,1700,151,1943,,
X32,C10,T960,235,235,107,280,1772,160,1958,,
X33,D9,LH22b,134,158,97,128,1285,84,1870,,
X33,D10,LH22b,150,148,91,128,1238,79,1685,,
X34,E9,T2003,4687,2615,25127,26898,1441,27620,9727,,
X34,E10,T2003,5852,3387,26424,28019,1793,28832,12783,,
X35,F9,T2002,5259,719,4479,7662,402,10948,4976,,
X35,F10,T2002,5401,850,4714,8189,425,11810,5286,,
X36,G9,T2001,2189,2116,24451,27925,790,26872,8118,,
X36,G10,T2001,2193,2296,24512,28168,835,27200,8003,,
X37,H9,T2000,24082,4105,711,24881,2866,16411,16641,,
X37,H10,T2000,24912,5063,856,26724,3387,18853,19951,,
X38,A11,D2-(P23),123,61,60,45,53,54,211,,
X38,A12,D2-(P23),96,50,48,33,46,46,145,,
X39,B11,A3-(P25),77,89,77,46,54,58,286,,
X39,B12,A3-(P25),67,68,63,40,50,51,208,,
X40,C11,E2 (P22),1254,99,160,89,83,183,595,,
X40,C12,E2 (P22),1102,77,149,86,75,164,532,,
X41,D11,D1-(P21),143,146,84,362,51,48,565,,
X41,D12,D1-(P21),142,130,71,319,51,55,461,,
X42,E11,A3-(P24),512,103,70,148,4040,159,1117,,
X42,E12,A3-(P24),496,88,78,153,4027,162,1039,,
X43,F11,(P11),505,125,86,120,336,66,1298,,
X43,F12,(P11),512,111,90,127,338,82,1138,,
X44,G11,D1-P7,129,108,121,53,66,82,322,,
X44,G12,D1-P7,131,98,120,49,71,86,311,,
X45,H11,B2-P7,1373,119,254,269,99,731,548,,
X45,H12,B2-P7,1340,107,228,257,104,719,497,,
,,,,,,,,,,,
2. STDEV,,,,,,,,,,,
Type,Well,Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,
B,"A1,A2",blank,5,4,5,7,7,11,3,,
C1,"B1,B2",Universal,2,56,4,124,4,3,38,,
C2,"C1,C2",Pool,109,33,82,1046,641,439,208,,
X1,"D1,D2",T588,17,8,7,17,5,14,10,,
X2,"E1,E2",T697,25,13,72,32,16,104,97,,
X3,"F1,F2",T598,7,0,12,6,4,32,43,,
X4,"G1,G2",T591,2,1,7,14,1,24,35,,
X5,"H1,H2",T921,80,11,7,13,24,47,101,,
X6,"A3,A4",T997,162,18,38,88,42,266,191,,
X7,"B3,B4",T630,3,2,13,5,17,10,11,,
X8,"C3,C4",T680,16,6,5,13,7,3,33,,
X9,"D3,D4",T562,6,23,14,8,1,3,51,,
X10,"E3,E4",T707,1339,33,93,21,54,356,52,,
X11,"F3,F4",T717,70,5,101,15,7,115,80,,
X12,"G3,G4",T587,8,2,19,7,4,23,21,,
X13,"H3,H4",LH359,149,3,59,16,11,97,20,,
X14,"A5,A6",T639,21,1,41,19,6,1,30,,
X15,"B5,B6",T577,11,5,24,10,1,11,52,,
X16,"C5,C6",T545,12,62,31,4,2,8,202,,
X17,"D5,D6",T628,1,20,17,10,6,0,59,,
X18,"E5,E6",LH158,2679,39,421,395,161,1164,583,,
X19,"F5,F6",LH349,2,23,3,7,71,3,25,,
X20,"G5,G6",T9266,33,14,16,1,3,4,37,,
X21,"H5,H6",LH263,1,13,12,6,1,3,23,,
X22,"A7,A8",LH321,208,8,167,138,47,333,416,,
X23,"B7,B8",LH240,121,5,13,20,21,160,119,,
X24,"C7,C8",LH264,23,13,15,8,15,17,87,,
X25,"D7,D8",LH278,28,13,16,1,22,1,3,,
X26,"E7,E8",LH309,85,17,17,10,10,2,235,,
X27,"F7,F8",T924,41,14,6,8,5,21,37,,
X28,"G7,G8",T1013,38,40,6,8,3,13,120,,
X29,"H7,H8",LH265,7,9,3,4,16,4,29,,
X30,"A9,A10",T9086,4,7,4,8,2,6,7,,
X31,"B9,B10",T1080,18,10,18,32,2,53,34,,
X32,"C9,C10",T960,13,4,0,8,51,6,11,,
X33,"D9,D10",LH22b,11,7,5,0,34,4,130,,
X34,"E9,E10",T2003,823,546,917,793,249,857,2161,,
X35,"F9,F10",T2002,100,92,166,373,16,610,220,,
X36,"G9,G10",T2001,2,127,43,171,32,232,81,,
X37,"H9,H10",T2000,587,677,102,1303,368,1727,2341,,
X38,"A11,A12",D2-(P23),19,7,8,8,5,6,47,,
X39,"B11,B12",A3-(P25),7,15,10,5,3,5,55,,
X40,"C11,C12",E2 (P22),107,16,8,2,6,13,45,,
X41,"D11,D12",D1-(P21),1,11,9,30,0,5,74,,
X42,"E11,E12",A3-(P24),11,11,6,4,9,2,55,,
X43,"F11,F12",(P11),5,10,2,5,1,11,113,,
X44,"G11,G12",D1-P7,1,7,1,2,4,3,8,,
X45,"H11,H12",B2-P7,23,8,18,8,4,8,36,,
,,,,,,,,,,,
,,,,,,,,,,,
3. LIMIT OF DETECTION,,,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,
,,,72,87,79,71,77,100,145,,
,,,,,,,,,,,
4. AVERAGES,,,,,,,,,,,
Type,Well,Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,
B,"A1,A2",blank,56,77,65,50,56,66,137,,
C1,"B1,B2",Universal,33,1111,61,6200,38,101,220,,
C2,"C1,C2",Pool,556,293,601,6761,4433,2962,1312,,
X1,"D1,D2",T588,241,93,178,150,110,364,523,,
X2,"E1,E2",T697,324,110,481,310,195,878,960,,
X3,"F1,F2",T598,391,119,323,270,161,861,770,,
X4,"G1,G2",T591,473,110,309,308,220,831,963,,
X5,"H1,H2",T921,838,95,95,264,209,598,705,,
X6,"A3,A4",T997,899,119,212,585,249,1331,1143,,
X7,"B3,B4",T630,504,144,127,321,96,770,968,,
X8,"C3,C4",T680,295,150,171,372,382,866,1561,,
X9,"D3,D4",T562,83,174,139,127,57,188,610,,
X10,"E3,E4",T707,1170,120,349,230,147,865,787,,
X11,"F3,F4",T717,1055,187,1486,847,243,2712,1777,,
X12,"G3,G4",T587,282,116,411,177,87,598,629,,
X13,"H3,H4",LH359,2206,175,852,1134,166,2316,1070,,
X14,"A5,A6",T639,735,121,561,651,295,1112,1128,,
X15,"B5,B6",T577,275,163,258,270,151,607,690,,
X16,"C5,C6",T545,351,163,183,100,77,198,662,,
X17,"D5,D6",T628,1093,202,438,404,147,1160,1096,,
X18,"E5,E6",LH158,1942,186,430,319,176,877,907,,
X19,"F5,F6",LH349,44,212,110,113,2306,88,1236,,
X20,"G5,G6",T9266,809,173,479,315,139,632,896,,
X21,"H5,H6",LH263,47,217,113,132,62,52,971,,
X22,"A7,A8",LH321,1538,224,1352,2073,597,2773,2813,,
X23,"B7,B8",LH240,3609,267,1649,1462,405,2965,3126,,
X24,"C7,C8",LH264,1350,165,178,216,157,370,1040,,
X25,"D7,D8",LH278,1456,214,335,405,463,464,1382,,
X26,"E7,E8",LH309,3839,284,181,572,732,474,3539,,
X27,"F7,F8",T924,1457,199,379,307,274,793,1034,,
X28,"G7,G8",T1013,1015,224,187,178,111,178,1043,,
X29,"H7,H8",LH265,510,242,282,345,147,472,1541,,
X30,"A9,A10",T9086,73,89,80,101,62,79,455,,
X31,"B9,B10",T1080,1225,158,520,761,231,1460,1093,,
X32,"C9,C10",T960,226,238,107,275,1736,156,1950,,
X33,"D9,D10",LH22b,142,153,94,128,1261,82,1777,,
X34,"E9,E10",T2003,5269,3001,25776,27458,1617,28226,11255,,
X35,"F9,F10",T2002,5330,784,4597,7926,413,11379,5131,,
X36,"G9,G10",T2001,2191,2206,24482,28046,812,27036,8060,,
X37,"H9,H10",T2000,24497,4584,783,25803,3126,17632,18296,,
X38,"A11,A12",D2-(P23),110,55,54,39,50,50,178,,
X39,"B11,B12",A3-(P25),72,79,70,43,52,54,247,,
X40,"C11,C12",E2 (P22),1178,88,154,88,79,174,564,,
X41,"D11,D12",D1-(P21),142,138,77,341,51,52,513,,
X42,"E11,E12",A3-(P24),504,95,74,151,4034,160,1078,,
X43,"F11,F12",(P11),508,118,88,124,337,74,1218,,
X44,"G11,G12",D1-P7,130,103,121,51,69,84,317,,
X45,"H11,H12",B2-P7,1357,113,241,263,101,725,522,,
,,,,,,,,,,,
5. AVERAGES minus BLANK,,,,,,,,,,,
Type,Well,Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,CONTROL (GAPDH)
B,"A1,A2",blank,0,0,0,0,0,0,0,,
C1,"B1,B2",Universal,-23,1034,-4,6150,-19,35,83,,6150
C2,"C1,C2",Pool,501,217,537,6711,4377,2896,1175,,6711
X1,"D1,D2",T588,185,16,114,100,54,298,386,,100
X2,"E1,E2",T697,268,33,416,260,139,812,823,,260
X3,"F1,F2",T598,335,43,258,220,105,795,633,,220
X4,"G1,G2",T591,417,33,245,258,164,765,826,,258
X5,"H1,H2",T921,782,19,31,214,153,532,568,,214
X6,"A3,A4",T997,844,42,147,535,193,1265,1006,,535
X7,"B3,B4",T630,448,67,62,271,40,704,831,,271
X8,"C3,C4",T680,239,73,106,322,326,800,1424,,322
X9,"D3,D4",T562,27,97,74,77,1,122,473,,77
X10,"E3,E4",T707,1114,44,285,180,91,799,650,,180
X11,"F3,F4",T717,999,110,1422,797,187,2646,1640,,797
X12,"G3,G4",T587,226,39,347,127,31,532,492,,127
X13,"H3,H4",LH359,2150,99,787,1084,110,2250,933,,1084
X14,"A5,A6",T639,679,44,496,601,239,1046,991,,601
X15,"B5,B6",T577,219,86,194,220,95,541,553,,220
X16,"C5,C6",T545,296,86,119,50,21,132,525,,50
X17,"D5,D6",T628,1037,126,373,354,91,1094,959,,354
X18,"E5,E6",LH158,1887,109,366,269,120,811,770,,269
X19,"F5,F6",LH349,-12,136,46,63,2250,22,1099,,63
X20,"G5,G6",T9266,753,96,415,265,83,566,759,,265
X21,"H5,H6",LH263,-9,141,48,82,6,-14,834,,82
X22,"A7,A8",LH321,1483,147,1288,2023,541,2707,2676,,2023
X23,"B7,B8",LH240,3553,191,1585,1412,349,2899,2989,,1412
X24,"C7,C8",LH264,1294,89,113,166,101,304,903,,166
X25,"D7,D8",LH278,1400,138,270,355,407,398,1245,,355
X26,"E7,E8",LH309,3783,208,117,522,676,408,3402,,522
X27,"F7,F8",T924,1401,122,315,257,218,727,897,,257
X28,"G7,G8",T1013,959,147,122,128,55,112,906,,128
X29,"H7,H8",LH265,454,165,218,295,91,406,1404,,295
X30,"A9,A10",T9086,17,13,16,51,6,13,318,,51
X31,"B9,B10",T1080,1170,82,455,711,175,1394,956,,711
X32,"C9,C10",T960,170,161,42,225,1680,90,1813,,225
X33,"D9,D10",LH22b,86,77,29,78,1205,16,1640,,78
X34,"E9,E10",T2003,5214,2924,25711,27408,1561,28160,11118,,27408
X35,"F9,F10",T2002,5274,708,4532,7876,357,11313,4994,,7876
X36,"G9,G10",T2001,2135,2129,24417,27996,756,26970,7923,,27996
X37,"H9,H10",T2000,24441,4507,719,25753,3070,17566,18159,,25753
X38,"A11,A12",D2-(P23),54,-21,-11,-11,-7,-16,41,,-11
X39,"B11,B12",A3-(P25),16,2,5,-7,-4,-12,110,,-7
X40,"C11,C12",E2 (P22),1122,12,90,38,23,108,427,,38
X41,"D11,D12",D1-(P21),86,61,13,291,-5,-15,376,,291
X42,"E11,E12",A3-(P24),448,19,9,101,3978,94,941,,101
X43,"F11,F12",(P11),453,42,23,74,281,8,1081,,74
X44,"G11,G12",D1-P7,74,26,56,1,13,18,180,,1
X45,"H11,H12",B2-P7,1301,37,177,213,45,659,385,,213
,,,,,,,,,,,
"6. AVERAGES minus BLANK, negative numbers removed",,,,,,,,,,,
Type,Well,Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,CONTROL (GAPDH) (only wells above limit of detection)
B,"A1,A2",blank,0,0,0,0,0,0,0,,
C1,"B1,B2",Universal,0,1034,0,6150,0,35,83,,6150
C2,"C1,C2",Pool,501,217,537,6711,4377,2896,1175,,6711
X1,"D1,D2",T588,185,16,114,100,54,298,386,,100
X2,"E1,E2",T697,268,33,416,260,139,812,823,,260
X3,"F1,F2",T598,335,43,258,220,105,795,633,,220
X4,"G1,G2",T591,417,33,245,258,164,765,826,,258
X5,"H1,H2",T921,782,19,31,214,153,532,568,,214
X6,"A3,A4",T997,844,42,147,535,193,1265,1006,,535
X7,"B3,B4",T630,448,67,62,271,40,704,831,,271
X8,"C3,C4",T680,239,73,106,322,326,800,1424,,322
X9,"D3,D4",T562,27,97,74,77,1,122,473,,77
X10,"E3,E4",T707,1114,44,285,180,91,799,650,,180
X11,"F3,F4",T717,999,110,1422,797,187,2646,1640,,797
X12,"G3,G4",T587,226,39,347,127,31,532,492,,127
X13,"H3,H4",LH359,2150,99,787,1084,110,2250,933,,1084
X14,"A5,A6",T639,679,44,496,601,239,1046,991,,601
X15,"B5,B6",T577,219,86,194,220,95,541,553,,220
X16,"C5,C6",T545,296,86,119,50,21,132,525,,50
X17,"D5,D6",T628,1037,126,373,354,91,1094,959,,354
X18,"E5,E6",LH158,1887,109,366,269,120,811,770,,269
X19,"F5,F6",LH349,0,136,46,63,2250,22,1099,,63
X20,"G5,G6",T9266,753,96,415,265,83,566,759,,265
X21,"H5,H6",LH263,0,141,48,82,6,0,834,,82
X22,"A7,A8",LH321,1483,147,1288,2023,541,2707,2676,,2023
X23,"B7,B8",LH240,3553,191,1585,1412,349,2899,2989,,1412
X24,"C7,C8",LH264,1294,89,113,166,101,304,903,,166
X25,"D7,D8",LH278,1400,138,270,355,407,398,1245,,355
X26,"E7,E8",LH309,3783,208,117,522,676,408,3402,,522
X27,"F7,F8",T924,1401,122,315,257,218,727,897,,257
X28,"G7,G8",T1013,959,147,122,128,55,112,906,,128
X29,"H7,H8",LH265,454,165,218,295,91,406,1404,,295
X30,"A9,A10",T9086,17,13,16,51,6,13,318,,51
X31,"B9,B10",T1080,1170,82,455,711,175,1394,956,,711
X32,"C9,C10",T960,170,161,42,225,1680,90,1813,,225
X33,"D9,D10",LH22b,86,77,29,78,1205,16,1640,,78
X34,"E9,E10",T2003,5214,2924,25711,27408,1561,28160,11118,,27408
X35,"F9,F10",T2002,5274,708,4532,7876,357,11313,4994,,7876
X36,"G9,G10",T2001,2135,2129,24417,27996,756,26970,7923,,27996
X37,"H9,H10",T2000,24441,4507,719,25753,3070,17566,18159,,25753
X38,"A11,A12",D2-(P23),54,0,0,0,0,0,41,,
X39,"B11,B12",A3-(P25),16,2,5,0,0,0,110,,
X40,"C11,C12",E2 (P22),1122,12,90,38,23,108,427,,38
X41,"D11,D12",D1-(P21),86,61,13,291,0,0,376,,291
X42,"E11,E12",A3-(P24),448,19,9,101,3978,94,941,,101
X43,"F11,F12",(P11),453,42,23,74,281,8,1081,,74
X44,"G11,G12",D1-P7,74,26,56,1,13,18,180,,
X45,"H11,H12",B2-P7,1301,37,177,213,45,659,385,,213
,,,,,,,,,,,
7. NORMALIZED to GAPDH. Samples with GAPDH signal lower than the limit of detection excluded.,,,,,,,,,,,
,,,,,,,,,,,
Type,Well,Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,
B,"A1,A2",blank,,,,,,,,,
C1,"B1,B2",Universal,0,0.168,0,1,0,0.006,0.013,,
C2,"C1,C2",Pool,0.075,0.032,0.08,1,0.652,0.432,0.175,,
X1,"D1,D2",T588,1.845,0.162,1.132,1,0.536,2.973,3.848,,
X2,"E1,E2",T697,1.032,0.127,1.603,1,0.537,3.128,3.17,,
X3,"F1,F2",T598,1.523,0.193,1.174,1,0.477,3.611,2.876,,
X4,"G1,G2",T591,1.615,0.129,0.949,1,0.635,2.965,3.202,,
X5,"H1,H2",T921,3.653,0.086,0.143,1,0.716,2.486,2.653,,
X6,"A3,A4",T997,1.578,0.079,0.275,1,0.36,2.367,1.883,,
X7,"B3,B4",T630,1.653,0.247,0.229,1,0.147,2.595,3.064,,
X8,"C3,C4",T680,0.743,0.227,0.33,1,1.013,2.488,4.429,,
X9,"D3,D4",T562,0.354,1.26,0.961,1,0.013,1.581,6.143,,
X10,"E3,E4",T707,6.188,0.243,1.581,1,0.506,4.436,3.608,,
X11,"F3,F4",T717,1.253,0.138,1.783,1,0.235,3.318,2.056,,
X12,"G3,G4",T587,1.781,0.31,2.736,1,0.241,4.197,3.882,,
X13,"H3,H4",LH359,1.983,0.091,0.726,1,0.101,2.075,0.861,,
X14,"A5,A6",T639,1.13,0.073,0.826,1,0.397,1.74,1.649,,
X15,"B5,B6",T577,0.993,0.392,0.879,1,0.431,2.456,2.51,,
X16,"C5,C6",T545,5.881,1.711,2.363,1,0.413,2.622,10.438,,
X17,"D5,D6",T628,2.929,0.355,1.054,1,0.256,3.09,2.709,,
X18,"E5,E6",LH158,7.026,0.406,1.361,1,0.445,3.02,2.868,,
X19,"F5,F6",LH349,0,2.159,0.729,1,35.857,0.347,17.514,,
X20,"G5,G6",T9266,2.841,0.363,1.564,1,0.313,2.137,2.865,,
X21,"H5,H6",LH263,0,1.719,0.59,1,0.067,0,10.202,,
X22,"A7,A8",LH321,0.733,0.073,0.637,1,0.267,1.338,1.323,,
X23,"B7,B8",LH240,2.517,0.135,1.123,1,0.247,2.054,2.118,,
X24,"C7,C8",LH264,7.82,0.536,0.683,1,0.607,1.838,5.453,,
X25,"D7,D8",LH278,3.946,0.388,0.761,1,1.146,1.122,3.51,,
X26,"E7,E8",LH309,7.247,0.398,0.223,1,1.295,0.781,6.517,,
X27,"F7,F8",T924,5.463,0.477,1.227,1,0.848,2.833,3.497,,
X28,"G7,G8",T1013,7.524,1.155,0.957,1,0.431,0.876,7.102,,
X29,"H7,H8",LH265,1.54,0.561,0.738,1,0.309,1.377,4.764,,
X30,"A9,A10",T9086,0.342,0.248,0.307,1,0.109,0.248,6.287,,
X31,"B9,B10",T1080,1.646,0.115,0.64,1,0.246,1.962,1.346,,
X32,"C9,C10",T960,0.756,0.717,0.188,1,7.482,0.399,8.077,,
X33,"D9,D10",LH22b,1.106,0.984,0.376,1,15.502,0.199,21.096,,
X34,"E9,E10",T2003,0.19,0.107,0.938,1,0.057,1.027,0.406,,
X35,"F9,F10",T2002,0.67,0.09,0.575,1,0.045,1.436,0.634,,
X36,"G9,G10",T2001,0.076,0.076,0.872,1,0.027,0.963,0.283,,
X37,"H9,H10",T2000,0.949,0.175,0.028,1,0.119,0.682,0.705,,
X38,"A11,A12",D2-(P23),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
X39,"B11,B12",A3-(P25),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
X40,"C11,C12",E2 (P22),29.927,0.307,2.393,1,0.607,2.867,11.373,,
X41,"D11,D12",D1-(P21),0.297,0.211,0.044,1,0,0,1.294,,
X42,"E11,E12",A3-(P24),4.455,0.184,0.092,1,39.577,0.938,9.363,,
X43,"F11,F12",(P11),6.156,0.565,0.316,1,3.823,0.109,14.704,,
X44,"G11,G12",D1-P7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
X45,"H11,H12",B2-P7,6.114,0.172,0.83,1,0.213,3.098,1.811,,
,,,,,,,,,,,
8. SIGNAL TO NOISE,,,,,,,,,,,
Type,Well,Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67),,
B,"A1,A2",blank,,,,,,,,,
C1,"B1,B2",Universal,0.6,14.5,0.9,124,0.7,1.5,1.6,,
C2,"C1,C2",Pool,10,3.8,9.3,135.2,79.2,44.9,9.6,,
X1,"D1,D2",T588,4.3,1.2,2.8,3,2,5.5,3.8,,
X2,"E1,E2",T697,5.8,1.4,7.4,6.2,3.5,13.3,7,,
X3,"F1,F2",T598,7,1.6,5,5.4,2.9,13,5.6,,
X4,"G1,G2",T591,8.5,1.4,4.8,6.2,3.9,12.6,7,,
X5,"H1,H2",T921,15,1.2,1.5,5.3,3.7,9.1,5.1,,
X6,"A3,A4",T997,16.1,1.6,3.3,11.7,4.4,20.2,8.3,,
X7,"B3,B4",T630,9,1.9,2,6.4,1.7,11.7,7.1,,
X8,"C3,C4",T680,5.3,2,2.6,7.4,6.8,13.1,11.4,,
X9,"D3,D4",T562,1.5,2.3,2.1,2.5,1,2.8,4.5,,
X10,"E3,E4",T707,21,1.6,5.4,4.6,2.6,13.1,5.7,,
X11,"F3,F4",T717,18.9,2.4,23,16.9,4.3,41.1,13,,
X12,"G3,G4",T587,5,1.5,6.4,3.5,1.5,9.1,4.6,,
X13,"H3,H4",LH359,39.6,2.3,13.2,22.7,3,35.1,7.8,,
X14,"A5,A6",T639,13.2,1.6,8.7,13,5.3,16.8,8.2,,
X15,"B5,B6",T577,4.9,2.1,4,5.4,2.7,9.2,5,,
X16,"C5,C6",T545,6.3,2.1,2.8,2,1.4,3,4.8,,
X17,"D5,D6",T628,19.6,2.6,6.8,8.1,2.6,17.6,8,,
X18,"E5,E6",LH158,34.8,2.4,6.7,6.4,3.1,13.3,6.6,,
X19,"F5,F6",LH349,0.8,2.8,1.7,2.3,41.2,1.3,9,,
X20,"G5,G6",T9266,14.5,2.3,7.4,6.3,2.5,9.6,6.5,,
X21,"H5,H6",LH263,0.8,2.8,1.7,2.6,1.1,0.8,7.1,,
X22,"A7,A8",LH321,27.6,2.9,21,41.5,10.7,42,20.5,,
X23,"B7,B8",LH240,64.7,3.5,25.6,29.2,7.2,44.9,22.8,,
X24,"C7,C8",LH264,24.2,2.2,2.8,4.3,2.8,5.6,7.6,,
X25,"D7,D8",LH278,26.1,2.8,5.2,8.1,8.3,7,10.1,,
X26,"E7,E8",LH309,68.9,3.7,2.8,11.4,13.1,7.2,25.8,,
X27,"F7,F8",T924,26.1,2.6,5.9,6.1,4.9,12,7.5,,
X28,"G7,G8",T1013,18.2,2.9,2.9,3.6,2,2.7,7.6,,
X29,"H7,H8",LH265,9.1,3.2,4.4,6.9,2.6,7.2,11.3,,
X30,"A9,A10",T9086,1.3,1.2,1.2,2,1.1,1.2,3.3,,
X31,"B9,B10",T1080,22,2.1,8.1,15.2,4.1,22.1,8,,
X32,"C9,C10",T960,4,3.1,1.7,5.5,31,2.4,14.2,,
X33,"D9,D10",LH22b,2.5,2,1.5,2.6,22.5,1.2,13,,
X34,"E9,E10",T2003,94.5,39.2,399.6,549.2,28.9,427.7,82.2,,
X35,"F9,F10",T2002,95.6,10.3,71.3,158.5,7.4,172.4,37.5,,
X36,"G9,G10",T2001,39.3,28.8,379.6,560.9,14.5,409.6,58.8,,
X37,"H9,H10",T2000,439.4,59.9,12.1,516.1,55.8,267.2,133.5,,
X38,"A11,A12",D2-(P23),2,0.7,0.8,0.8,0.9,0.8,1.3,,
X39,"B11,B12",A3-(P25),1.3,1,1.1,0.9,0.9,0.8,1.8,,
X40,"C11,C12",E2 (P22),21.1,1.2,2.4,1.8,1.4,2.6,4.1,,
X41,"D11,D12",D1-(P21),2.5,1.8,1.2,6.8,0.9,0.8,3.7,,
X42,"E11,E12",A3-(P24),9,1.2,1.1,3,72,2.4,7.9,,
X43,"F11,F12",(P11),9.1,1.5,1.4,2.5,6,1.1,8.9,,
X44,"G11,G12",D1-P7,2.3,1.3,1.9,1,1.2,1.3,2.3,,
X45,"H11,H12",B2-P7,24.3,1.5,3.7,5.3,1.8,11,3.8,,